Unnamed: 0,ORG Name,ORG Link,Size,Sector,Country,Region,Report,download
0,1time,https://database.globalreporting.org/organizations/4821/,Large,Logistics,za,Africa,"['2012 - Non - GRI Non - GRI8d5b7751288d013ce932b983f305051b.pdf', '2011 - Non - GRI Non - GRIb233f59e19db460a8ae2eec256e4bf83.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2012/8d5b7751288d013ce932b983f305051b.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2011/b233f59e19db460a8ae2eec256e4bf83.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
1,Abercom Tech,https://database.globalreporting.org/organizations/21062/,SME,Technology Hardware,ug,Africa,['2019 - GRI - Standards GRI - Standardsdc7aaa2e4451405544c187df80a03f49.pdf'],['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2019/dc7aaa2e4451405544c187df80a03f49.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']
2,Absa Group Limited,https://database.globalreporting.org/organizations/216/,Large,Financial Services,za,Africa,"['2020 - GRI - Standards GRI - Standards8eccdf07d58d97cdc55949c52ac888b0.pdf', '2019 - Citing - GRI Citing - GRI5c0a1b5dfd2c33ad1d5761f8ece4a6cb.pdf', '2018 - Citing - GRI Citing - GRI62ed575ad50f6bf1d102d41308831f3b.pdf', '2017 - GRI - G4 GRI - G4cec2ca8852711d4af02e0f0f3f53298e.pdf', '2017 - Non - GRI Non - GRIdc6babf3568627b5efa519ba60768410.pdf', '2016 - GRI - G4 GRI - G41e2f53325d914efed81bbbc67bcf17be.pdf', '2015 - GRI - G4 GRI - G44c29fa578ba0df98065069ccfab84949.pdf', '2014 - GRI - G4 GRI - G4e2272d1d66ce842a3033c9f9d40ca391.pdf', '2013 - GRI - G3 GRI - G311499a8e0fb7a6662bcb9378716cfced.pdf', '2012 - GRI - G3.1 GRI - G3.192ca00f32aff2df771f72c1753f3e90d.pdf', '2011 - GRI - G3 GRI - G384174fa5b27f89c168bf3e29b3ce1953.pdf', '2008 - GRI - G3 GRI - G3467a68178018f67995b0b22c227e842b.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2020/8eccdf07d58d97cdc55949c52ac888b0.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2019/5c0a1b5dfd2c33ad1d5761f8ece4a6cb.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2018/62ed575ad50f6bf1d102d41308831f3b.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2017/cec2ca8852711d4af02e0f0f3f53298e.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2017/dc6babf3568627b5efa519ba60768410.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2016/1e2f53325d914efed81bbbc67bcf17be.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2015/4c29fa578ba0df98065069ccfab84949.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2014/e2272d1d66ce842a3033c9f9d40ca391.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2013/11499a8e0fb7a6662bcb9378716cfced.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2012/92ca00f32aff2df771f72c1753f3e90d.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2011/84174fa5b27f89c168bf3e29b3ce1953.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2008/467a68178018f67995b0b22c227e842b.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
3,Abu Qir Fertilizers Company (AFC),https://database.globalreporting.org/organizations/21839/,Large,Chemicals,eg,Africa,['2019 - GRI - Standards GRI - Standardsa611a14783dc84caf4a3c293597bf4ad.pdf'],['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2019/a611a14783dc84caf4a3c293597bf4ad.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']
4,Accelerate Property Fund,https://database.globalreporting.org/organizations/16430/,Large,Real Estate,za,Africa,"['2018 - Non - GRI Non - GRId2ac130682cb55bc05e66a13c0efd908.pdf', '2017 - Non - GRI Non - GRI28099a7fe996ba36b450f63debef1cb0.pdf', '2016 - Citing - GRI Citing - GRIadcb2ce014df9d3723a5d22b86d492e7.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2018/d2ac130682cb55bc05e66a13c0efd908.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2017/28099a7fe996ba36b450f63debef1cb0.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2016/adcb2ce014df9d3723a5d22b86d492e7.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
5,Accentuate,https://database.globalreporting.org/organizations/6464/,Large,Construction,za,Africa,"['2019 - Non - GRI Non - GRI74f546b1e7eb1e4f0a84256c7d060fd4.pdf', '2018 - Non - GRI Non - GRI668287772698689618001ed3a381e6bd.pdf', '2016 - Non - GRI Non - GRI2b3dbc7bea941396c9cec217358ac7f8.pdf', '2015 - Non - GRI Non - GRI88836af1689f6754dbd71b67f8576fac.pdf', '2014 - Non - GRI Non - GRIf56854db92e3421d036987bd498f9290.pdf', '2013 - Non - GRI Non - GRI21a80d7f4da979a23b2443d5d5e43b12.pdf', '2012 - Citing - GRI Citing - GRI8349e89446559c33db01c63098059cf0.pdf', '2011 - Non - GRI Non - GRI6a93ff84f47082ecea4591ce6777357a.pdf', '2010 - Non - GRI Non - GRI8cc3515bd3292cb580b726f81097fe0b.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2019/74f546b1e7eb1e4f0a84256c7d060fd4.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2018/668287772698689618001ed3a381e6bd.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2016/2b3dbc7bea941396c9cec217358ac7f8.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2015/88836af1689f6754dbd71b67f8576fac.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2014/f56854db92e3421d036987bd498f9290.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2013/21a80d7f4da979a23b2443d5d5e43b12.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2012/8349e89446559c33db01c63098059cf0.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2011/6a93ff84f47082ecea4591ce6777357a.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2010/8cc3515bd3292cb580b726f81097fe0b.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
6,Access Bank Ghana,https://database.globalreporting.org/organizations/16768/,Large,Financial Services,gh,Africa,"['2018 - Citing - GRI Citing - GRI891c71a9f632a1d0afb1ae27c1ca8418.pdf', '2017 - Non - GRI Non - GRI5dff901df32e966ae7f0f3d64890644e.pdf', '2016 - Non - GRI Non - GRId64d11e04ca515fe944923c944b2b630.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2018/891c71a9f632a1d0afb1ae27c1ca8418.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2017/5dff901df32e966ae7f0f3d64890644e.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2016/d64d11e04ca515fe944923c944b2b630.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
7,Access Bank PLC,https://database.globalreporting.org/organizations/1065/,Large,Financial Services,ng,Africa,"['2019 - Citing - GRI Citing - GRIfffa34574a8453bcc942f77e863f57ed.pdf', '2018 - Citing - GRI Citing - GRIa88d50d5f176cdb54bd3036113dd4641.pdf', '2017 - GRI - G4 GRI - G448762b5e02d84933cd8a74063f2fd1a5.pdf', '2016 - GRI - G4 GRI - G4b584d2cc9a319326ebea10f9cf92a0c7.pdf', '2015 - GRI - G4 GRI - G43357e77ab93b1cf12fa206ad31b19133.pdf', '2014 - GRI - G3.1 GRI - G3.16997a0372410dc66d8679ca40afdf139.pdf', '2013 - GRI - G3 GRI - G3cef9929feb136e84920327b0125682dc.pdf', '2012 - GRI - G3 GRI - G3353510be74b5e669cae2605ed2e01f09.pdf', '2011 - GRI - G3 GRI - G37208bb94385b22c8681587ffd98a469b.pdf', '2010 - GRI - G3 GRI - G3129ca1e0a57a01096c612934d4f56bad.pdf', '2009 - GRI - G3 GRI - G3d57e9bf15c89f6d3d44ee0d16cfc9a55.pdf', '2008 - GRI - G3 GRI - G300bdb2ee7ffc04e8731a6a8d2ae1d4f1.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2019/fffa34574a8453bcc942f77e863f57ed.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2018/a88d50d5f176cdb54bd3036113dd4641.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2017/48762b5e02d84933cd8a74063f2fd1a5.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2016/b584d2cc9a319326ebea10f9cf92a0c7.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2015/3357e77ab93b1cf12fa206ad31b19133.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2014/6997a0372410dc66d8679ca40afdf139.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2013/cef9929feb136e84920327b0125682dc.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2012/353510be74b5e669cae2605ed2e01f09.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2011/7208bb94385b22c8681587ffd98a469b.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2010/129ca1e0a57a01096c612934d4f56bad.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2009/d57e9bf15c89f6d3d44ee0d16cfc9a55.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2008/00bdb2ee7ffc04e8731a6a8d2ae1d4f1.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
8,Acsion Real Estate,https://database.globalreporting.org/organizations/16431/,SME,Real Estate,za,Africa,"['2017 - Non - GRI Non - GRI0263079a54144c549d8428ae394f49ec.pdf', '2016 - Non - GRI Non - GRI597853a090d27bbb22658255eae7a75d.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2017/0263079a54144c549d8428ae394f49ec.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2016/597853a090d27bbb22658255eae7a75d.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
9,Acucap Properties,https://database.globalreporting.org/organizations/4820/,Large,Real Estate,za,Africa,"['2014 - Non - GRI Non - GRI023620e2d14e26053638fd78a5f52f24.pdf', '2013 - Non - GRI Non - GRIe890349a1c43e66775088e1f21d844c0.pdf', '2012 - Non - GRI Non - GRIc776b57928fd4aa4b5051efa52b98f2a.pdf', '2011 - Non - GRI Non - GRI19f628fac79887748ef7c1d6a4b1aa85.pdf', '2010 - Non - GRI Non - GRIb49c02a578158322f0f073b1e47556dc.pdf']","['https://sdd-pdf.s3.amazonaws.com/report-pdfs/2014/023620e2d14e26053638fd78a5f52f24.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2013/e890349a1c43e66775088e1f21d844c0.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2012/c776b57928fd4aa4b5051efa52b98f2a.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2011/19f628fac79887748ef7c1d6a4b1aa85.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA', 'https://sdd-pdf.s3.amazonaws.com/report-pdfs/2010/b49c02a578158322f0f073b1e47556dc.pdf?AWSAccessKeyId=AKIAJZQ4KYD2D35QKCDA']"
