Name,url
Imperial Logistics Ltd,https://unglobalcompact.org/what-is-gc/participants/140623-Imperial-Logistics-Ltd
Compassion Soul Winners Outreach International,https://unglobalcompact.org/what-is-gc/participants/139857-Compassion-Soul-Winners-Outreach-International
ADG Mobility (Pty) Ltd,https://unglobalcompact.org/what-is-gc/participants/139269-ADG-Mobility-Pty-Ltd
SSR Chartered Accountants,https://unglobalcompact.org/what-is-gc/participants/137528-SSR-Chartered-Accountants
Automotive Distributors Africa Limited,https://unglobalcompact.org/what-is-gc/participants/138517-Automotive-Distributors-Africa-Limited
Information Capital,https://unglobalcompact.org/what-is-gc/participants/138944-Information-Capital
Bernika Health,https://unglobalcompact.org/what-is-gc/participants/138872-Bernika-Health
WK Wilton & Associates,https://unglobalcompact.org/what-is-gc/participants/138498-WK-Wilton-Associates
Global Energy Migration Pty Ltd,https://unglobalcompact.org/what-is-gc/participants/138280-Global-Energy-Migration-Pty-Ltd
SAP South Africa (Pty.) Ltd.,https://unglobalcompact.org/what-is-gc/participants/137574-SAP-South-Africa-Pty-Ltd-
SSMTLRecycle and Waste Management Primary Co-operative Limited,https://unglobalcompact.org/what-is-gc/participants/136855-SSMTLRecycle-and-Waste-Management-Primary-Co-operative-Limited
Uniq Holdings (PTY) Ltd.,https://unglobalcompact.org/what-is-gc/participants/135386-Uniq-Holdings-PTY-Ltd-
Congretype Pty Ltd,https://unglobalcompact.org/what-is-gc/participants/135708-Congretype-Pty-Ltd
Umvoto Africa,https://unglobalcompact.org/what-is-gc/participants/135650-Umvoto-Africa
South African Medical Research Council,https://unglobalcompact.org/what-is-gc/participants/135283-South-African-Medical-Research-Council
HRTorQue Outsourcing (Pty) Ltd,https://unglobalcompact.org/what-is-gc/participants/134936-HRTorQue-Outsourcing-Pty-Ltd
Fusion Energy Holdings,https://unglobalcompact.org/what-is-gc/participants/133645-Fusion-Energy-Holdings
Symphonia for South Africa NPC,https://unglobalcompact.org/what-is-gc/participants/133756-Symphonia-for-South-Africa-NPC
Old Mutual Limited,https://unglobalcompact.org/what-is-gc/participants/133412-Old-Mutual-Limited
NPI Governance Consulting,https://unglobalcompact.org/what-is-gc/participants/133170-NPI-Governance-Consulting
SouthSouthNorth,https://unglobalcompact.org/what-is-gc/participants/132862-SouthSouthNorth
Hydro Power Equipment (Pty) Ltd,https://unglobalcompact.org/what-is-gc/participants/132929-Hydro-Power-Equipment-Pty-Ltd
JLS Clothing,https://unglobalcompact.org/what-is-gc/participants/132544-JLS-Clothing
Synergy Global Consulting,https://unglobalcompact.org/what-is-gc/participants/132034-Synergy-Global-Consulting
The University of Cape Town,https://unglobalcompact.org/what-is-gc/participants/131858-The-University-of-Cape-Town
Genesis Analytics (Pty) Ltd,https://unglobalcompact.org/what-is-gc/participants/130771-Genesis-Analytics-Pty-Ltd
DNA Economics (Pty) Ltd,https://unglobalcompact.org/what-is-gc/participants/129021-DNA-Economics-Pty-Ltd
Buddies4Ever,https://unglobalcompact.org/what-is-gc/participants/111531-Buddies4Ever
