,ORG Name,ORG Link,Size,Sector,Country,Region,Report
0,1time,https://database.globalreporting.org/organizations/4821/,Large,Logistics,za,Africa,"['2012 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/12037/', '2011 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/25879/']"
1,Abercom Tech,https://database.globalreporting.org/organizations/21062/,SME,Technology Hardware,ug,Africa,['2019 - GRI - Standards GRI - Standards: https://database.globalreporting.org/reports/70663/']
2,Absa Group Limited,https://database.globalreporting.org/organizations/216/,Large,Financial Services,za,Africa,"['2020 - GRI - Standards GRI - Standards: https://database.globalreporting.org/reports/79635/', '2019 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/73897/', '2018 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/62464/', '2017 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/60789/', '2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/53633/', '2016 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/42449/', '2015 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/27210/', '2014 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/19435/', '2013 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/17361/', '2012 - GRI - G3.1 GRI - G3.1: https://database.globalreporting.org/reports/11833/', '2011 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/9901/', '2010 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/5012/', '2009 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/3497/', '2008 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/2370/', '2004 - GRI - G2 GRI - G2: https://database.globalreporting.org/reports/487/', '2003 - GRI - G2 GRI - G2: https://database.globalreporting.org/reports/318/']"
3,Abu Qir Fertilizers Company (AFC),https://database.globalreporting.org/organizations/21839/,Large,Chemicals,eg,Africa,['2019 - GRI - Standards GRI - Standards: https://database.globalreporting.org/reports/73615/']
4,Accelerate Property Fund,https://database.globalreporting.org/organizations/16430/,Large,Real Estate,za,Africa,"['2018 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/62465/', '2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/53448/', '2016 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/53447/']"
5,Accentuate,https://database.globalreporting.org/organizations/6464/,Large,Construction,za,Africa,"['2019 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/74017/', '2018 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/61410/', '2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/59366/', '2016 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/42445/', '2015 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/32382/', '2014 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/22527/', '2013 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/17606/', '2012 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/17372/', '2011 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/17369/', '2010 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/28458/']"
6,Access Bank Ghana,https://database.globalreporting.org/organizations/16768/,Large,Financial Services,gh,Africa,"['2018 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/62159/', '2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/54439/', '2016 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/54438/']"
7,Access Bank PLC,https://database.globalreporting.org/organizations/1065/,Large,Financial Services,ng,Africa,"['2019 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/79328/', '2018 - Citing - GRI Citing - GRI: https://database.globalreporting.org/reports/62937/', '2017 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/55309/', '2016 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/44779/', '2015 - GRI - G4 GRI - G4: https://database.globalreporting.org/reports/35610/', '2014 - GRI - G3.1 GRI - G3.1: https://database.globalreporting.org/reports/26636/', '2013 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/18739/', '2012 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/11242/', '2011 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/10259/', '2010 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/5021/', '2009 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/3503/', '2008 - GRI - G3 GRI - G3: https://database.globalreporting.org/reports/2373/']"
8,Acsion Real Estate,https://database.globalreporting.org/organizations/16431/,SME,Real Estate,za,Africa,"['2017 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/53450/', '2016 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/53449/']"
9,Acucap Properties,https://database.globalreporting.org/organizations/4820/,Large,Real Estate,za,Africa,"['2014 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/22582/', '2013 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/17370/', '2012 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/14748/', '2011 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/12036/', '2010 - Non - GRI Non - GRI: https://database.globalreporting.org/reports/26613/']"
