,file name,page number,text
0,Outreach Social Care Project.pdf,1,"The Outreach Social Care Project 10 Aloe Road, Cleland, Pietermaritzburg 3201 PO Box. 12005 Dorpspruit, Pietermaritzburg 3206 KwaZulu-Natal, South Africa Telephone. +27 33 396 5836 Fax No. +27 33 396 1338 Email: outreachcare@webmail.co.za oscarprojectsa@gmail.com FOF cWithout a Vision People Perish- Proverbs 29:18 d Registration Number as Non-profit Organisation: 062-459NPO 23 November 2011 H.E. Ban Ki-moon Secretary-General United Nations New York, NY 10017 USA Dear Mr. Secretary-General, | am pleased to confirm that Outreach Social Care Project-OSCAR supports the ten principles of the UN Global Compact with respect to human rights, labour, environment, and anti-corruption. With this commitment, we express our intent to advance these principles within our sphere of influence, and will make a clear statement of this commitment to our stakeholders and the general public. We also pledge to take part in the activities of the UN Global Compact where appropriate and feasible - through, for instance, participation in Country/Local Networks; involvement in specialized initiatives and work streams; engagement in partnership projects; and reviewing and providing commentary to participating companies on their Communications on Progress. Sincerely yours, Patriichberde Mr. Patrick Newton BONDO Project Director Outreach Social Care Project-OSCAR Mobile. +27 76 303 2005 c'"
1,Information Capital.pdf,1," Way y INFORMATION CAPITAL ca ZL \\ INDUSTRY 4.0 THEGLOGALGOALS Johannesburg, 18 February 2020 H.E. Antonio Guterres Secretary-General United Nations New York, NY 10017 USA Dear Mr. Secretary-General, lam pleased to confirm that Information Capital supports the Ten Principles of the United Nations Global Compact on human rights, labour, environment and anti-corruption. With this communication, we express our intent to implement those principles. We are committed to making the UN Global Compact and its principles part of the strategy, culture and day-to-day operations of our company, and to engaging in collaborative projects which advance the broader development goals of the United Nations, particularly the Sustainable Development Goals. Information Capital will make a clear statement of this commitment to our stakeholders and the general public. We recognize that a key requirement for participation in the UN Global Compact is the annual submission of a Communication on Progress (COP) that describes our company s efforts to implement the Ten Principles. We support public accountability and transparency, and therefore commit to report on progress within one year of joining the UN Global Compact, and annually thereafter according to the UN Global Compact COP policy. This includes: o Astatement signed by the chief executive expressing continued support for the UN Global Compact and renewing our ongoing commitment to the initiative and its principles. This is separate from our initial letter of commitment to join the UN GlobalCompact. o Adescription of practical actions (i.e., disclosure of any relevant policies, procedures, activities) that the company has taken (or plans to undertake) to implement the UN Global Compact principles in each of the four issue areas (human rights, labour, environment, anti- corruption). o Ameasurement of outcomes (i.e., the degree to which targets/performance indicators were met, or other qualitative or quantitative measurements of results). Sincerely yours, fil-*z Steve Monty Chief Executive Officer ve Information Capital Data (Pty) Ltd Reg no 2008/026238/07 Fredman Towers, 13 Fredman Drive Sandton - Johannesburg South Africa 2146 Mobile + 27 82 455 0880 wi saa? Director: $. Monty R.G. Northing Associates: S. Carver M. Parr c'"
2,Aspen Pharmacare Holdings Limited.pdf,1,"aspen pharmacare holdings limited e a S e n registered office building 8 healthcare park woodlands drive woodmead po box 1587 gallo manor 2052 south africa www.aspenpharma.com HouLDIN s tel +2711 2396100 fax +27 11 2396111 rag. no 1985/002935/06 head office aspen house aspen park 98 armstrong avenue Ia lucia po box 25125 gateway 4321 tel +27 31 5808600 fax +27 31 5808640 23 July 2013 H.E. Ban Ki-moon Secretary-General United Nations New York, NY 10017 USA Dear Mr. Secretary-General I am pleased to confirm that Aspen Pharmacare Holdings Limited supports the ten principles of the Global Compact with respect to human rights, labour, environment and anti-corruption. With this communication, we express our intent to advance those principles within our sphere of influence. We are committed to making the Global Compact and its principles part of the strategy, culture and day-to-day operations of our company, and to engaging in collaborative projects which advance the broader development goals of the United Nations, particularly the Millennium Development Goals. Aspen Pharmacare Holdings Limited will make a clear statement of this commitment to our stakeholders and the general public. We recognise that a key requirement for participation in the Global Compact is the annual submission of a Communication on Progress (COP) that describes our company s efforts to implement the ten principles. We support public accountability and transparency, and therefore commit to report on progress within one year of joining the Global Compact, and annually thereafter according to the Global Compact COP policy. Yours sincerely GUS/ATTRIDGE Deputy Grolip Chief Executive directors nj dlamini* (chairman) r andersen mg attridge mr bagus jf buchanan* kd dlamini* sa hussain* cn mortimer* sb saad s zilwa* *non-executive company secretary r verster c'"
3,Automotive Distributors Africa Limited.pdf,1," Automotive Distributors Africa Limited 13 January 2020 H.E. Antonio Guterres Secretary-General United Nations New York, NY 10017 USA Dear Mr. Secretary-General, 1am pleased to confirm that Automotive Distributors Africa Limited supports the Ten Principles of the United Nations Global Compact on human rights, labour, environment and anti-corruption. With this communication, we express our intent to implement those principles. We are committed to making the UN Global Compact and its principles part of the strategy, culture and day-to-day operations of our company, and to engaging in collaborative projects which advance the broader development goals of the United Nations, particularly the Sustainable Development Goals. Automotive Distributors Africa Limited will make a clear statement of this commitment to our stakeholders and the general public. We recognize that a key requirement for participation in the UN Global Compact is the annual submission of a Communication on Progress (COP) that describes our company s efforts to implement the Ten Principles. We support public accountability and transparency, and therefore commit to report on progress within one year of joining the UN Global Compact, and annually thereafter according to the UN Global Compact COP policy. This includes: A statement signed by the chief executive expressing continued support for the UN Global Compact and renewing our ongoing commitment to the initiative and its principles. This is separate from our initial letter of commitment to join the UN Global Compact. * A description of practical actions that the company has taken to implement the UN Global Compact principles in each of the four issue areas (human rights, labour, environment, anti-corruption). e A measurement of outcomes. Sincerely yours, Mr. Tim Jaques CEO: Automotive Distributors Africa Limited 22 Boeing Road East Automotive Distributors Africa Limited Edenvale (Incorporated in Jebel Ali Free Zone, UAE) South Africa Emaar Square, Building 4, Level 8 1609 PO Box 11987 Dubai, UAE Reg. no.: 2015/286662/10 c'"
4,Global Energy Migration Pty Ltd.pdf,1,"@ Global Energy Migration Pty Ltd O3crestone hills Lilyvale @ 0027677924026 Bloemfontein FreeState South Africa makhube98@gmail.com Www.globalenergymigration.net 13/12/2019 H.E. Antonio Guterres Secretary-General United Nations New York, NY 10017 USA Dear Mr. Secretary-General, lam pleased to confirm that Global Energy Migration supports the Ten Principles of the United Nations Global Compact on human rights, labour, environment and anti-corruption. With this communication, we express our intent to implement those principles. We are committed to making the UN Global Compact and its principles part of the strategy, culture and day-to-day operations of our company, and to engaging in collaborative projects which advance the broader development goals of the United Nations, particularly the Sustainable Development Goals. Global Energy Migration will make a clear statement of this commitment to our stakeholders and the general public. We recognize that a key requirement for participation in the UN Global Compact is the annual submission of a Communication on Progress (COP) that describes our company s efforts to implement the Ten Principles. We support public accountability and transparency, and therefore commit to report on progress within one year of joining the UN Global Compact, and annually thereafter according to the UN Global Compact COP policy. This includes: A statement signed by the chief executive expressing continued support for the UN Global Compact and renewing our ongoing commitment to the initiative and its principles. This is separate from our initial letter of commitment to join the UN Global Compact. A description of practical actions (i.e., disclosure of any relevant policies, procedures, activities) that the company has taken (or plans to undertake) to implement the UN Global Compact principles in each of the four issue areas (human rights, labour, environment, anti-corruption). A measurement of outcomes (i.e., the degree to which targets/performance indicators were met, or other qualitative or quantitative measurements of results). (Milde rLehlohonolo Makhube Managing Director c'"
5,Uniq Holdings (PTY) Ltd..pdf,1,"Set een UNIQ HOLDINGS H.E. Antonio Guterres March 1, 2019 Secretary-General United Nations New York, NY 10017 USA Dear Mr. Secretary General, lam pleased to confirm that Uniq Holdings supports the ten principals of the Global Compact with respect to human rights, labour, environment and anti-corruption. With this communication, we express our intent to advance those principles within our sphere of influence. We are committed to making the Global Compact and its principles part of the strategy, culture and day-to-day operations of our company, and to engaging in collaborative projects which advance the broader development goals of the United Nations, particularly the Sustainable Development Goals. Unig Holdings will make a clear statement of this commitment to our stakeholders and the general public. We recognize that a key requirement for participation in the Global Compact is the annual submission of a Communication on Progress (COP) that describes our company s efforts to implement the ten principles. We support public accountability and transparency, and therefore commit to report on progress within one year of joining the Global Compact, and annually thereafter according to the Global Compact COP policy. This includes: e Astatement signed by the chief executive expressing continued support for the UN Global Compact and renewing our ongoing commitment to the initiative and its principles. This is separate from our initial letter of commitment to join the Global Compact. e Adescription of practical actions (i.e., disclosure of any relevant policies, procedures, activities) that the company has taken (or plans to undertake) to implement the Global Compact principles in each of the four issue areas (human rights, labour, environment, anti-corruption) Ameasurement of outcomes (i.e., the degree to which targets/performance indicators were met, or other qualitative or quantitative measurements of results). Sincerely yours, Mr Le 7h Moepeng 7 CEO, Unig Holdings (Pty) Ltd Uri (e Mans ofel S Meus tr ese Or) Lees wes eazy i Deter kee) Pai in eee ea mises ac Ma A or IRcIuea a ATCT eRe) We are a CIDB, ECBSA, NHBRC & CSIR/Agre ment, ISO 9001 / ISO 14001 / ISO 18001 certified company, SET Maree iu e a de eon aol MeL Roe a een eee eke) Lk Loe ng; *Sheila Mpho Moepeng [Non Executive) (*South African) c'"
6,Old Mutual Limited.pdf,2,"fj Mutualpark, Jan Smuts Drive, Pinelands 7405. oF 2) OLDMUTUAL PO Box 66, Cape Town 8000, South Africa. Tel +27 (0}21 509 9111, Fax +27 (0)21 509 4444 www.oldmutual.co.za 23 July 2018 H.E. Ant nio Guterres Secretary-General United Nations New York, NY 10017 USA Dear Secretary-General Guterres, On 26 June 2018 Old Mutual Limited was listed on the Johannesburg Stock Exchange (JSE), with a standard listing in the JSE, and the secondary listings in Malawi, Namibia and Zimbabwe. This followed a process of separating the businesses that were constituent parts of Old Mutual Pic, which had been listed primarily in the London Stock Exchange (LSE) since July 1999. !am pleased to confirm that Old Mutual Limited as a stand alone business, supports the Ten Principles of the United Nations Global Compact on human rights, labour, environment and anti- corruption. With this communication, we express our intent to implement those principles. We are committed to making the UN Global Compact and its principles part of the strategy, culture and day-to-day operations of our company, and to engaging in collaborative projects which advance the broader development goals of the United Nations, particularly the Sustainable Development Goals. Old Mutual Limited will make a clear statement of this commitment to our stakeholders and the general public, We recognize that a key requirement for participation in the UN Global Compact is the annual submission of a Communication on Progress (COP) that describes our company s efforts fo implement the Ten Principles. We support public accountability and transparency, and therefore commit to report on progress within one year of joining the UN Global Compact and annually thereafter according to the UN Global Compact COP policy. This commitment includes the provision of the following: To report unethical behaviour, call the Anonymous Reporting line (Old Mutual Life Assurance Company (South Africa) Limited. Reg No: 1999/004643/06 0800 222 117 or visit www.cldmutualanenymousreporis.co.za Licensed Financial Services Provider TA Manuel (Chairman), MP Moyo {Chief Executive Officer], CG Troskle (Chief Fnancial Officer), PC Baloyi, PG de Beyer, AK Essien, | Kgaboesele, JR Lister, Dr $ Magwentshu-Rensburg, Ms NT Mohali, Ms CWN Molope, Ms T Mokgos-Mwantembe, BM Raplya and IS Sehooie. Company Secretary: EM Kirsten c Astatement signed by the chief executive expressing continued support for the UN Global Compact and renewing our ongoing commitment to the initiative and its principles. This is separate from our initial letter of commitment to join the UN Global Compact. Adescription of practical actions (i.e. disclosure of any relevant policies, procedures, activities) that the company has taken (or plans to undertake) to implement the UN Global Compact principles in each of the four issue areas (human rights, labour, environment, anti-corruption). Ameasurement of outcomes {i.e. the degree to which targets/performance indicators were met, or other qualitative or quantitative measurements of results). Yours Sincerely, PeterMoyo (/ Chief Executive Officer, Old Mutual Limited c'"
7,Oceana Group Limited.pdf,1,"9"" Floor, Oceana House, Telephone +27 21 410 1400 25 Jan Smuts Street, Foreshore, Fax Number +27 21 413 2625 Cape Town, 8001 E-mail info@oceana.co.za OCEANA/GROUP P.O. Box 7206, Roggebaai, 8012 Web http://www.oceana.co.za LIMITED South Africa 21 August 2012 His Excellency Ban Ki-moon Secretary-General of the United Nations United Nations New York, NY 10017 USA Dear Mr. Secretary-General, RE: PARTICIPATION IN THE GLOBAL COMPACT am pleased to confirm that Oceana Group Limited supports the ten principles of the Global Compact with respect to human rights, labour, environment and anti-corruption. With this communication, we express our intent to advance those principles within our sphere of influence. We are committed to making the Global Compact and its principles part of the strategy, culture and day-to-day operations of our company, and to engaging in collaborative projects which advance the broader development goals of the United Nations, particularly the Millennium Development Goals. Oceana Group Limited will make a clear statement of this commitment to our stakeholders and the general public. We recognize that a key requirement for participation in the Global Compact is the annual submission of a Communication on Progress (COP) that describes our company s efforts to implement the ten principles. We support public accountability and transparency, and therefore commit to report on progress within one year of joining the Global Compact, and annually thereafter according to the Global Compact COP policy. Sincerely yours, Mr Francois P. Kuttel Group Chief Executive Officer Directors: MA Brey (Chairman), FP Kuttel (CEO), ZBM Bassa, PG de Beyer, ABA Conrad, PB Matlare, RG Nicol, S Pather, PM Roux, NV Simamane, TJ Tapela Company Secretary: JC Marais Company Registration No.: 1939/001730/06 c'"
8,Synergy Global Consulting.pdf,1," = synergy H.E. Antd nio Guterres Secretary-General United Nations New York, NY 10017 USA Dear Mr. Secretary-General, | am pleased to confirm that Synergy Global Consulting supports the Ten Principles of the United Nations Global Compact on human rights, labour, environment and anti-corruption. With this communication, we express our intent to implement those principles. We are committed to making the UN Global Compact and its principles part of the strategy, culture and day-to-day operations of our company, and to engaging in collaborative projects which advance the broader development goals of the United Nations, particularly the Sustainable Development Goals. Synergy Global Consulting will make a clear statement of this commitment to our stakeholders and the general public. We recognize that a key requirement for participation in the UN Global Compact is the annual submission of a Communication on Progress (COP) that describes our company s efforts to implement the Ten Principles. We support public accountability and transparency, and therefore commit to report on progress within one year of joining the UN Global Compact, and annually thereafter according to the UN Global Compact COP policy. This includes: e A statement signed by the chief executive expressing continued support for the UN Global Compact and renewing our ongoing commitment to the initiative and its principles. This is separate from our initial letter of commitment to join the UN Global Compact. e Adescription of practical actions (i.e., disclosure of any relevant policies, procedures, activities) that the company has taken (or plans to undertake) to implement the UN Global Compact principles in each of the four issue areas (human rights, labour, environment, anti-corruption). e A measurement of outcomes (i.e., the degree to which targets/performance indicators were met, or other qualitative or quantitative measurements of results). Sincerely yours, Mr. Nkosie Ndlovu Director Synergy Global Consulting United Kingdom office: South Africa office ner net United Kingdo} c'"
9,JM Empowerment Foundation.pdf,1,"JM Empowerment Foundation 02-12-2014 H.E. Ban Ki-moon Secretary-General United Nations New York, NY 10017 USA Dear Mr. Secretary- General Tam pleased to confirm that JM Empowerment Foundation supports the ten principles of the UN Global Compact with respect to human rights, labour, environment and anti-corruption. With this commitment, we express our intent to support the Global Compact advancing these principles, and will make a clear statement of this commitment to our stakeholders and the general public. We also pledge to participate in and engage with the UN Global Compact in the following ways: e Engage with Global Compact Local Networks Join and/or Propose Partnership Projects on Corporate Sustainability e Engage companies in Global Compact-related issues Join and/or Support special initiatives and workstreams Provide commentary to companies on Communications on Progress Participate in Global Compact global and local events We recognize that a key requirement for participation in the Global Compact is the submission of a Communication on Engagement (COE) that describes our organization s efforts to support the implementation of the ten principles and to engage with the Global Compact. We support public accountability and transparency, and therefore commit to report on progress within two years of joining the Global Compact and every two years thereafter according to the Global Compact COE policy. Sincerely yours, fangu Founder and Executive Chairperson, JM Empowerment Foundation Ms. Joye c'"
