Name,Type,Sector,Country,Joined On
Sibanye-Stillwater,Company,Mining,South Africa,2020-08-25
Imperial Logistics Ltd,Company,Industrial Transportation,South Africa,2020-07-27
Compassion Soul Winners Outreach International,NGO Local,Not Applicable,South Africa,2020-06-10
ADG Mobility (Pty) Ltd,Small or Medium-sized Enterprise,Aerospace & Defense,South Africa,2020-04-01
SSR Chartered Accountants,Small or Medium-sized Enterprise,Financial Services,South Africa,2020-03-24
Automotive Distributors Africa Limited,Company,Automobiles & Parts,South Africa,2020-03-12
Information Capital,Small or Medium-sized Enterprise,Software & Computer Services,South Africa,2020-02-27
Bernika Health,Small or Medium-sized Enterprise,Health Care Equipment & Services,South Africa,2020-02-21
WK Wilton & Associates,Small or Medium-sized Enterprise,Financial Services,South Africa,2020-01-23
Global Energy Migration Pty Ltd,Small or Medium-sized Enterprise,Alternative Energy,South Africa,2019-12-31
SAP South Africa (Pty.) Ltd.,Company,Software & Computer Services,South Africa,2019-10-11
SSMTLRecycle and Waste Management Primary Co-operative Limited,Small or Medium-sized Enterprise,Industrial Engineering,South Africa,2019-08-23
Uniq Holdings (PTY) Ltd.,Small or Medium-sized Enterprise,Diversified,South Africa,2019-05-09
Congretype Pty Ltd,Small or Medium-sized Enterprise,Diversified,South Africa,2019-05-09
Umvoto Africa,Small or Medium-sized Enterprise,Diversified,South Africa,2019-04-24
South African Medical Research Council,Academic,Not Applicable,South Africa,2019-03-22
HRTorQue Outsourcing (Pty) Ltd,Small or Medium-sized Enterprise,Support Services,South Africa,2019-02-07
Fusion Energy Holdings,Small or Medium-sized Enterprise,Electricity,South Africa,2018-09-24
Symphonia for South Africa NPC,NGO Local,Not Applicable,South Africa,2018-09-24
Old Mutual Limited,Company,Financial Services,South Africa,2018-08-23
NPI Governance Consulting,Small or Medium-sized Enterprise,Diversified,South Africa,2018-07-18
SouthSouthNorth,NGO Local,Not Applicable,South Africa,2018-06-26
Hydro Power Equipment (Pty) Ltd,Company,General Industrials,South Africa,2018-06-21
JLS Clothing,Small or Medium-sized Enterprise,Diversified,South Africa,2018-05-30
Synergy Global Consulting,Small or Medium-sized Enterprise,Diversified,South Africa,2018-03-20
The University of Cape Town,Academic,Not Applicable,South Africa,2018-02-28
Genesis Analytics (Pty) Ltd,Small or Medium-sized Enterprise,Diversified,South Africa,2018-02-05
DNA Economics (Pty) Ltd,Small or Medium-sized Enterprise,Financial Services,South Africa,2018-01-17
Buddies4Ever,NGO Local,Not Applicable,South Africa,2017-05-12
De Angelus Estates,Small or Medium-sized Enterprise,Diversified,South Africa,2017-04-18
Empanda Pty Ltd,Small or Medium-sized Enterprise,Media,South Africa,2016-07-18
Afrikaanse Taal en Kultuur Vereniging,NGO Local,Not Applicable,South Africa,2015-12-15
Discovery Limited,Company,Nonlife Insurance,South Africa,2015-06-15
Play Africa Group,NGO Global,Not Applicable,South Africa,2015-05-04
Redi Recruitment CC,Small or Medium-sized Enterprise,Banks,South Africa,2015-01-14
JM Empowerment Foundation,NGO Global,Not Applicable,South Africa,2014-12-12
FynBloem (Pty) Ltd,Small or Medium-sized Enterprise,Forestry & Paper,South Africa,2014-10-17
Van Dyck Carpets (Pty) Ltd,Small or Medium-sized Enterprise,General Industrials,South Africa,2014-08-06
City of Cape Town,City,Not Applicable,South Africa,2014-06-13
Cricket South Africa NPC,Public Sector Organization,Not Applicable,South Africa,2014-02-28
Isiziba Community Based Organizations of South Africa,NGO Global,Not Applicable,South Africa,2013-10-16
Woolworths Holdings,Company,General Retailers,South Africa,2013-08-23
Aspen Pharmacare Holdings Limited,Company,Pharmaceuticals & Biotechnology,South Africa,2013-07-31
Distell Limited,Company,Beverages,South Africa,2013-05-29
Calgro M3 Land,Small or Medium-sized Enterprise,Construction & Materials,South Africa,2013-05-06
Netcare Limited,Company,Health Care Equipment & Services,South Africa,2012-12-13
Investec Group,Company,Financial Services,South Africa,2012-12-13
MTN Group Limited,Company,Mobile Telecommunications,South Africa,2012-12-12
Oceana Group Limited,Company,Food Producers,South Africa,2012-08-29
Transnet SOC Ltd.,Company,Industrial Transportation,South Africa,2012-07-25
Royal Bafokeng Platinum Limited,Company,Mining,South Africa,2012-06-05
Outreach Social Care Project,NGO Local,Not Applicable,South Africa,2011-12-02
Edcon,Company,General Retailers,South Africa,2011-10-20
Endangered Wildlife Trust,NGO Local,Not Applicable,South Africa,2011-04-20
